Point;Latitude;Longitude
BCN25;52.715000;-3.034167
BCN65;52.807500;-3.106667
BEDEK;51.370833;-1.558611
BEDFO;52.225000;-0.563333
BEDNO;51.683800;-1.896633
BEECH;50.470556;0.210000
BEGAM;54.156944;-2.120833
BEGTO;50.762500;-1.235556
BEKET;58.886944;-1.522222
BEKMO;52.986111;2.619444
BEKSA;51.817778;-2.546111
BEL44;55.060833;-7.296111
BEL45;55.250278;-7.033056
BEL50;54.803056;-7.648889
BEL54;54.301758;-4.815828
BEL56;55.398056;-7.239722
BEL66;54.478419;-8.085883
BEL67;54.465642;-8.102825
BEL73;54.114270;-4.371697
BEL76;55.348333;-8.091944
BEL88;53.978333;-4.047222
BEL91;54.905556;-8.802500
BEL98;54.743333;-9.037500
BELOX;53.887778;-3.489722
BENBO;50.451389;0.010278
BENIB;52.424797;0.599869
BENSU;51.578889;-0.918889
BEREK;51.656111;-1.096944
BERUL;52.671111;-3.520278
BESGA;60.789722;-7.912778
BETAX;53.009167;-0.900833
BEVAM;55.731389;0.250833
BEVEL;50.415000;-1.985278
BEWLI;50.758611;-1.810278
BHD41;52.710556;-2.887500
BHD46;52.801111;-2.892778
BHX00;52.447900;-1.743710
BHX01;52.462750;-1.759650
BHX04;52.522953;-1.814716
BHX07;52.357294;-1.624225
BHX15;52.595689;-1.881236
BHX16;52.337956;-1.678000
BHX17;52.331978;-1.723803
BHX24;52.578069;-1.922769
BHX31;52.566494;-1.943278
BHX45;52.381931;-1.656623
BHX56;52.341044;-1.663236
BHX60;52.562236;-1.850608
BHX67;52.332764;-1.706790
BIG02;51.300928;0.011514
BIG03;51.382982;0.073358
BIG04;51.397975;0.084525
BIG05;51.345630;0.044042
BIG07;51.438895;0.104653
BIG17;51.435464;0.115074
BIG30;51.758484;-0.379902
BIG31;51.728745;-0.822067
BIG40;51.798333;-0.724444
BIG41;51.196944;1.100000
BIG42;51.422703;0.149633
BIG45;51.400367;0.079703
BIGNO;50.000000;-2.825000
BILLY;60.019722;-8.568889
BILNI;50.675278;-2.125833
BILVO;53.731111;-3.185833
BINBO;53.401667;3.341389
BINTI;54.562500;-1.995833
BKY02;51.983925;0.115075
BKY03;52.039567;0.056292
BKY05;51.907705;0.085881
BKY06;52.089642;0.064775
BKY07;52.106028;0.048736
BKY08;51.858108;0.095608
BKY10;51.969331;0.247839
BKY14;51.894375;0.406264
BKY16;52.017617;0.504926
BKY17;51.956917;0.071308
BKY19;51.873811;0.479850
BKY20;51.540870;-0.482339
BKY22;52.027322;0.665740
BKY25;51.600200;-0.210014
BKY26;51.972333;-0.069950
BKY50;51.973758;0.194311
BKY51;52.015133;0.464364
BKY55;51.975186;0.194745
BKY60;51.565472;-0.363292
BKY67;51.978056;-0.071600
BKY70;52.057209;-0.308775
BKY71;52.063928;-0.333500
BKY80;51.858491;0.099314
BKY97;51.859878;0.013533
BKY98;51.794950;-0.010567
BLACA;54.883333;-5.158889
BNN04;51.703281;-0.448958
BNN08;51.596261;-0.501592
BNN30;51.776050;-0.552533
BNN60;51.628350;-0.516336
BNN61;51.825989;-0.555350
BNN80;51.595761;-0.505239
BODSO;53.052222;2.094722
BOGMI;50.998056;-7.204722
BOGNA;50.701944;-0.251667
BOLBI;53.466667;-1.812500
BOMBO;51.995556;-0.396389
BONBY;57.891667;-4.343333
BPK05;51.812560;-0.018517
BPK07;51.737386;0.080100
BPK09;51.862753;0.052180
BPK18;51.975564;0.211822
BPK21;52.050000;-0.393889
BPK24;51.726242;-0.177711
BPK26;52.127500;-0.468611
BPK86;51.765803;0.079417
BRAIN;51.811111;0.651667
BRASO;51.685278;0.683333
BRIPO;50.707500;-2.750000
BRUCE;56.236389;-5.841111
BUDON;57.701944;-0.561944
BUKUT;52.758333;2.800556
BUMUX;50.804444;-3.349444
BUSIP;51.682675;-1.829708
BUSTA;52.092778;0.067778
BUZAD;51.942222;-0.552222
BZN01;51.740892;-1.627653
BZN02;51.744700;-1.550217
BZN03;51.753383;-1.683567
BZN09;51.794261;-1.373783
BZN10;51.734889;-1.363192
BZN21;51.755681;-1.548553
BZN25;51.726278;-1.675822
BZN26;51.758567;-1.535861
BZN28;51.759658;-1.817317
BZN43;51.776595;-1.438081
BZN50;51.689658;-1.796120
BZN77;51.768575;-1.473517
BZN97;51.755236;-1.551131
BZN98;51.744300;-1.615500
BZN99;51.724339;-1.731975
CALDA;53.774167;-2.643889
CAMBO;49.291667;-5.859722
CAMRA;50.623611;-0.106944
CARDZ;52.315406;0.804806
CASEY;52.008611;0.583056
CAVIM;52.383322;0.337653
CFD13;52.262500;-0.441667
CFD33;52.356111;0.165556
CGY02;53.103456;-0.117658
CGY04;53.115889;-0.066353
CGY09;53.146880;-0.061486
CGY20;53.214570;-0.345156
CHASE;52.613333;-1.917222
CHINN;57.964167;-4.188056
CHIPP;52.317117;0.803953
CLIPY;52.000833;-1.085833
CLN10;51.786944;1.432778
CLN13;51.832794;0.798961
CLN16;51.829044;0.718539
CLN21;51.822686;0.584911
CLN23;52.103333;1.633333
CLN28;51.813489;0.396987
CLN33;52.245278;1.783333
CLN42;52.367222;1.913056
CLYDE;55.963333;-4.792222
